gene_symbol,Nanp
analysis_id,0i2cef6514ij3n0
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914561
pvalue,0.3282088
