parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
analysis_id,b4107ag0s010lr4
gene_accession_id,MGI:1918025
pvalue,0.3718385
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Zmynd8
