analysis_id,oegm0ukhc9w0q89
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:99501
pvalue,0.6430627
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
gene_symbol,Fgb
mouse_strain,C57BL
