gene_symbol,Usp37
gene_accession_id,MGI:2442483
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
parameter_name,Cholesterol ratio
pvalue,0.9816228
analysis_id,acs5yzof8w38n2h
mouse_strain,C57BL
