parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
mouse_strain,C57BL
analysis_id,o8z83kq2j0v42cy
pvalue,0.9837608
parameter_name,Liver weight
gene_symbol,Cd52
