parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
analysis_id,3bxbu604o7xj7k8
parameter_name,Right kidney weight
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.9322435
mouse_strain,129SV
