analysis_id,9y8qcsz82v6791k
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,IMPC_HEM_037_001
pvalue,0.6757501
parameter_name,Basophil cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
