gene_symbol,Lrrc69
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1920564
pvalue,0.8987695
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
analysis_id,239wrl49q23if3u
