gene_symbol,Zyg11b
parameter_id,IMPC_ECH_005_001
analysis_id,ly2g95jpb6utn2e
pvalue,0.9105456
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Fractional Shortening
mouse_life_stage,E18.5
