parameter_name,Vitreous
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.2075194
analysis_id,g110948kp1mu3bu
mouse_life_stage,Early adult
gene_symbol,MAPKAP1
parameter_id,UCDLA_EYE_083_001
