parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
pvalue,0.3413524
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_strain,C57BL
analysis_id,i37eq5hb3602851
mouse_life_stage,Early adult
