analysis_id,98x3t2c952yp7te
pvalue,0.7597872
gene_accession_id,MGI:108072
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
gene_symbol,Traf6
mouse_strain,C57BL
mouse_life_stage,Early adult
