analysis_id,z8tv77533z736jo
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_name,Startle Response
pvalue,0.4866792
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
