parameter_name,RR
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4601863
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:2140475
analysis_id,90d831c4915i9mu
gene_symbol,AU040320
