analysis_id,5e85i75m391i00o
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919107
pvalue,0.8100058
parameter_name,Effector NK cells - % of NK cells
gene_symbol,SLC17A9
