analysis_id,ekbn83c8406u92w
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:107566
pvalue,0.8720849
gene_symbol,Kifap3
