gene_symbol,Hpca
parameter_name,Mean left eye lens density
pvalue,0.5614664
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
analysis_id,2y7r3210q72087n
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
