analysis_id,j5xi8d6c6l0udbw
mouse_strain,129SV
pvalue,0.5764593
parameter_id,MGP_MLN_072_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
parameter_name,KLRG1+ Treg cells - % of CD45+
