analysis_id,44rd48bth060xyk
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_131_001
pvalue,0.5771663
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
