analysis_id,6kj57u608p38o84
parameter_name,Cornea vascularisation
gene_accession_id,MGI:109384
gene_symbol,Atf3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08743935
parameter_id,ESLIM_014_001_008
