analysis_id,w3p99zzn071287v
Gene_symbol,Lurap1
pvalue,0.3819442
gene_accession_id,MGI:1915325
Mouse_strain,C57BL
Mouse_life_stage,Early adult
Parameter_name,Snout size
Parameter_id,IMPC_CSD_028_001
