gene_symbol,Gfi1b
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_life_stage,Early adult
pvalue,0.9003776
mouse_strain,C57BL
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:1276578
analysis_id,1rtwyqk7722ey73
