parameter_name,Eye
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
gene_symbol,Mapkap1
analysis_id,4s8aw7r09q54u06
pvalue,0.8095954
