gene_symbol,Trdmt1
pvalue,0.6524512
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
mouse_strain,C57BL
gene_accession_id,MGI:1274787
analysis_id,o6a6q4bmi27su23
mouse_life_stage,Early adult
