analysis_id,uok5m776963g9cj
pvalue,0.6712392
parameter_name,Hemoglobin
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
parameter_id,IMPC_HEM_003_001
