parameter_name,Neutrophil cell count
analysis_id,9me5u7du5438r29
gene_accession_id,MGI:1345282
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
pvalue,0.1308109
