analysis_id,j7674quoy186442
pvalue,0.09366037
parameter_name,Corneal opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,IMPC_EYE_008_001
