pvalue,7.654963e-06
gene_accession_id,MGI:2181659
mouse_strain,C57BL
analysis_id,4ik8taq38x2ff78
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
