analysis_id,8t1gl918pb8cm37
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,MGP_MLN_001_001
pvalue,0.9955248
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Total T cells - % of CD45+
