analysis_id,23420hdbr2rs33b
mouse_life_stage,Early adult
pvalue,0.05770386
mouse_strain,C57BL
gene_accession_id,MGI:1919949
parameter_id,MGP_MLN_058_001
gene_symbol,Lime1
parameter_name,Plasmacytoid DC - % of DC
