analysis_id,3c1ce3zza4s55e4
gene_accession_id,MGI:2448481
parameter_name,Creatinine
parameter_id,HMGULA_CBC_005_001
gene_symbol,Mgst2
pvalue,0.7971165
mouse_strain,C57BL
mouse_life_stage,Early adult
