gene_symbol,Dhdds
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
pvalue,0.4960599
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,m5912ie5t3gf6g3
