analysis_id,wb847o26w9ton0b
parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
pvalue,0.1919264
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,129SV
mouse_life_stage,Early adult
