analysis_id,96n950l8e45c419
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.52889
gene_symbol,Morn5
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
