mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
pvalue,0.4143786
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:2441730
parameter_name,Liver weight
mouse_strain,C57BL
analysis_id,65te7118vz53oa2
