analysis_id,lc2252093okmkh3
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9309
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
