analysis_id,01v5gu508f7j616
parameter_name,Distance travelled - total
gene_symbol,Hpca
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0
mouse_life_stage,Late adult
