parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4816869
gene_symbol,Hspa5
analysis_id,g1t0ki786829l21
