gene_symbol,Eprs1
mouse_life_stage,Early adult
analysis_id,smnr58ip65ebd88
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:97838
pvalue,0.05566795
parameter_id,IMPC_IMM_004_002
mouse_strain,C57BL
