parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1921493
pvalue,0.9135294
gene_symbol,Slx4ip
parameter_id,IMPC_IMM_071_001
analysis_id,yo0y476q5l3k3vb
mouse_life_stage,Early adult
mouse_strain,C57BL
