gene_symbol,Frmpd1
parameter_id,MGP_PBI_032_001
analysis_id,lfppfn3wg70ng1v
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
pvalue,0.7456087
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
