parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:1914071
pvalue,0.3469915
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
analysis_id,bz58p6ehvs2dc0m
gene_symbol,Bcs1l
