analysis_id,e58v25557z1u4gd
parameter_name,Femur
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.1898264
gene_symbol,Eprs1
parameter_id,IMPC_XRY_024_001
mouse_life_stage,E9.5
