analysis_id,t10566k3w4rwu2x
parameter_id,IMPC_CBC_011_001
parameter_name,Iron
mouse_strain,C57BL
pvalue,0.9351173
mouse_life_stage,Early adult
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
