analysis_id,e8830ax89520fwb
pvalue,0.8492298
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
