analysis_id,l86904j3073a481
gene_accession_id,MGI:1921262
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_symbol,Rap2b
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.2911595
