parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
analysis_id,807vzs074t948bt
pvalue,0.06425138
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
