gene_symbol,Abo
parameter_id,IMPC_GRS_009_001
pvalue,0.3775677
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
analysis_id,5gu7ubd251659a0
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
