parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
analysis_id,43qzx229tn7285k
mouse_life_stage,Late adult
pvalue,0.3523279
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
mouse_strain,C57BL
