parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:1346088
analysis_id,5p86ks2k6m881kv
pvalue,0.2286414
gene_symbol,Cd52
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body weight
