analysis_id,05u323np17bs56s
gene_symbol,Nemp2
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
gene_accession_id,MGI:2444113
mouse_strain,C57BL
pvalue,0.5042165
parameter_id,IMPC_ACS_006_001
