parameter_id,M-G-P_026_001_004
pvalue,0.5517364
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat colouration
gene_symbol,Lamb3
gene_accession_id,MGI:99915
analysis_id,897614woa2fs601
