parameter_name,Pale yolk sac
analysis_id,50x4p0979axx070
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,C57BL
pvalue,0.08758621
parameter_id,IMPC_GEL_017_002
