gene_symbol,Lurap1
gene_accession_id,MGI:1915325
analysis_id,2l5382b8uc9vfs1
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.7474428
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
