gene_symbol,Cd52
analysis_id,2a6er2369223wr8
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:1346088
pvalue,0.4089907
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
