analysis_id,fa48u201ury7975
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_name,LDL-cholesterol
gene_symbol,Wars2
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
pvalue,0.4110046
