gene_symbol,Nanp
analysis_id,q3l4p5og44000k4
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
pvalue,0.205069
parameter_name,Neutrophil differential count
