analysis_id,87npmrh818e901k
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.9265867
