parameter_name,Tibia
pvalue,0.8432288
gene_accession_id,MGI:1918025
parameter_id,IMPC_XRY_025_001
gene_symbol,Zmynd8
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1dy454bsj285m3s
