parameter_name,Center resting time
analysis_id,j76sa134w60900d
parameter_id,JAX_OFD_015_001
gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.6789855
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
