gene_symbol,Rhbg
analysis_id,m1q83n2i70n27rj
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_name,Creatinine
pvalue,0.1092099
parameter_id,HMGULA_CBC_005_001
mouse_life_stage,Early adult
