parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:2674093
mouse_strain,C57BL
analysis_id,b5gp3r87t9v4139
pvalue,0.7577032
mouse_life_stage,Early adult
gene_symbol,Psd4
