analysis_id,zv9h915nj06k36q
parameter_name,Resting NK cells - % of NK cells
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_id,MGP_MLN_033_001
pvalue,0.141121
gene_symbol,Mapkap1
mouse_life_stage,E12.5
