analysis_id,quza4r31i8h28xh
gene_symbol,Hpca
parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
pvalue,0.1032829
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
